,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus,Plus,Plus,Plus,calculated,plus,calculated,Plus,calculated,plus,Plus,Calculated,Plus,Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,Are you a competitive gamer?,Do you love video games?,Do you play video games?,How many hours per week do you play video games in general? ,Do you mostly play games with friends?  ,Which platform do you use to play video games? ,Which type of games do you mostly play? ,"If you had to choose one of these three types of games and could only play that type for the rest of your life, which would you pick? ",Does video games make you feel relieved and at peace?,Does losing in games makes you anxious?,Do you think you are good at playing your preferred game? How confident are you?,Does the game you enjoy the most contain graphic violence? ,How often do you feel intense rage while playing video games?,How often do you feel frustrated and stressed while playing video games?,How often do you find yourself playing video games even when you didn’t plan to and still have a lot of work due? ,Do you think video games affect your real life?,Do you ever feel like playing video games is a waste of time?,Do you think you are forgetful?,Do you face trouble in academics that requires memorization?,Do you often forget to do your basic tasks?,Do you rely on to-do list type software/websites for your daily tasks?,How often do miss your deadlines?,Do you ever forget about the food you ate yesterday?,How often do you rely on AI (Artificial Intelligence)? ,"Look at those words very carefully

PORT, chair, CAT, CUTE, dog, elephant, bicycle, car

Did you read it?",How many words were there in the last question?,Which words among these were written in all capital letters?,Which words among these were written in all small letters?,How many vehicle were there in that last list?,How many animals were there in the last list?,How stressful would you say your everyday life is?,"In the last month, how often have you been upset because of something that happened unexpectedly?","In the last month, how often have you felt that you were unable to control the important things in your life?","In the last month, how often have you felt nervous and stressed?",MINUS-1,"In the last month, how often have you felt confident about your ability to handle your personal problems?",Minus-2,"In the last month, how often have you felt that things were going your way?","In the last month, how often have you found that you could not cope with all the things that you had to do?",minus-3,"In the last month, how often have you been able to control irritations in your life?",minus 4,"In the last month, how often have you felt that you were on top of things?","In the last month, how often have you been angered because of things that happened that were outside of your control?","In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",Do you sometimes suffer from insomnia?,How often do you feel tired and dizziness?,Do you often feel headaches and pain when you are stressed? ,Are you mostly positive or you often jump to a negative conclusion? ,Which one of these would you say you are? ,Do you face trouble interacting with people in general?,Are you afraid of confrontation? Imagine you need to consult a faculty for some problems you faced in your course. Would you immediately seek help from your faculty?,Do you avoid social interaction? If so why do you withdraw from social engagement?,How often do you argue with your family?,How often do you argue with your friends?,Do you often lose your temper?,Do you like wondering around fantasy world?,How often do you live in your fantasy world?,Do your ever feel like fantasy world is better than reality?,"Do you think you have OCD (obsessive compulsive disorder)? Do you repeat your task, count a specific number while doing so, follow a strict schedule and strive for cleanliness in an unhealthy manner? ",Does other find your actions following your OCD annoying?,Do you face trouble being attentive in class?,How often do you face problem concentrating? ,Do you think you have ADHD (Attention deficit hyperactivity disorder)?,How often do you feel irritated? ,Do you get aggressive very easily?,Do you think you have anger management issues?,How confident are you in your academics? ,How many hours do you spend studying per week?,In which range does your CGPA fall under?,Do you often face trouble with your academics?,How often do you seek help from others in academics?,Do you feel hopeless when it comes to your academics?,In which situation do you find yourself the most when you can't achieve your desired result?,Are you content with your current rank?,Are you happy with your life?,PSS SCALE,"PSS Scale
Stress Value"
12/22/2025 14:52:01,No,"I don’t play video games, but I love watching others play.",No,0 hours,I don't play video games,I don't play video games,"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",I don't play video games,Sometimes,3,No,1,1,4,Yes,Yes,Yes,No,No,1,1,No,5,Yes,8,CAT,table,2,3,3,3,3,3,4,2,4,2,1,2,4,4,2,3,1,Yes,3,Yes,I am mostly positive,Introvert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",2,1,No,Yes,1,Yes,Yes,No,No,3,No,3,No,Yes,3,5-8 hours,3.7-4.0,4,5,Sometimes,I don't understand what happened. I tried my best and did everything. I feel hopeless.,"No, I need to do better",Yes,20,Moderate Stress
12/23/2025 20:15:40,No,Absolutely,Yes,9-12 hours,Yes,PC,"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",No,No,5,Yes,2,2,2,Yes,No,No,No,No,4,1,Yes,5,No,9,CAT,cat,1,0,1,3,3,4,1,5,3,3,2,1,5,1,5,1,2,No,2,No,I am mostly positive,Ambivert,Yes,Yes,I only interact only when a need arise,3,2,No,No,1,No,No,No,Yes,4,Yes,2,No,No,5,21-24 hours,3.7-4.0,1,4,No,I didn't try hard enough. I could've achieve it if I tried more,"Yes, I am happy with my academics. No regrets.",Yes,15,Moderate Stress
12/24/2025 15:49:46,No,Absolutely,Yes,9-12 hours,Sometimes,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,5,Yes,4,4,4,Yes,Yes,Yes,No,No,1,3,No,3,Yes,8,"CAR, CAT",chair,2,3,3,2,2,4,1,5,2,4,1,2,4,3,3,4,2,Yes,2,No,I am mostly positive,Ambivert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",3,2,No,Yes,4,Yes,No,No,Yes,4,No,1,No,No,4,1-4 hours,3.3-3.7,2,3,No,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",Yes,15,Moderate Stress
12/25/2025 8:10:59,No,Absolutely,Yes,9-12 hours,Yes,PC,"Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Sometimes,4,Sometimes,3,3,2,Yes,Yes,No,No,No,1,1,No,4,Yes,6,CAT,"car, chair",1,1,3,3,1,4,2,4,2,4,2,2,4,3,3,2,2,No,1,Yes,I keep myself prepared by considering negative alternatives,Introvert,No,Yes,"Sometimes, depends on my mood",1,1,No,No,1,No,No,No,No,1,No,1,No,No,4,1-4 hours,3.3-3.7,2,1,Sometimes,"Failure is the pillar of success. Next time, I will surely make it","Yes, I am happy with my academics. No regrets.",Yes,15,Moderate Stress
12/22/2025 15:17:39,No,Absolutely,Yes,9-12 hours,"No, I mostly play alone","PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Sometimes,Sometimes,3,Sometimes,2,3,4,No,No,Yes,No,No,2,1,Yes,4,Yes,7,CAT,car,2,2,4,3,3,4,2,4,1,5,3,3,3,2,4,2,3,No,2,No,I am mostly positive,Ambivert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I am awkward and I don't know how to engage with people,1,1,No,Yes,4,Yes,No,No,No,4,Yes,3,No,No,4,5-8 hours,3.7-4.0,3,2,No,I didn't try hard enough. I could've achieve it if I tried more,"Yes, I am happy with my academics. No regrets.",Yes,16,Moderate Stress
12/25/2025 0:36:01,No,Absolutely,Yes,1-4 hours,"No, I mostly play alone",PC,"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,4,Sometimes,2,2,4,Yes,No,No,Yes,No,3,1,Yes,5,Yes,7,CAT,table,1,3,2,3,2,4,2,4,2,4,3,3,3,2,4,2,3,Yes,3,Yes,I keep myself prepared by considering negative alternatives,Ambivert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I genuinely want to be left alone. I like it this way,3,1,No,No,2,Yes,Yes,No,Yes,2,No,2,No,No,2,1-4 hours,2.7-3.0,5,5,Yes,I am just not good at it,"Yes, I am happy with my academics. No regrets.",Yes,16,Moderate Stress
12/24/2025 14:16:49,Yes,Absolutely,Yes,9-12 hours,Yes,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Sometimes,Sometimes,4,Yes,4,4,4,Yes,No,No,No,No,1,2,No,3,Yes,7,CAT,car,1,2,3,3,3,3,3,3,3,3,2,3,3,2,4,3,2,Yes,3,No,I keep myself prepared by considering negative alternatives,Introvert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",3,4,Yes,Yes,4,Yes,Yes,No,Yes,3,Yes,3,No,No,3,1-4 hours,3.3-3.7,2,1,Sometimes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",I am not sure,17,Moderate Stress
12/24/2025 15:10:55,Yes,Absolutely,Yes,5-8 hours,Yes,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,4,Sometimes,2,2,2,Yes,Yes,Yes,Yes,Yes,2,1,No,2,Yes,8,CAT,"car, table, chair",2,3,4,2,4,3,2,4,2,4,4,1,5,2,4,1,2,Yes,3,Yes,I keep myself prepared by considering negative alternatives,Ambivert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",1,1,No,Yes,4,Yes,No,No,Yes,5,Yes,2,No,No,3,13-16 hours,3.3-3.7,4,4,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",Yes,17,Moderate Stress
12/25/2025 10:45:04,Yes,Absolutely,Yes,5-8 hours,"No, I mostly play alone","PC, Mobile (phone or tablet)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Sometimes,3,No,2,2,1,Yes,No,No,No,No,1,1,No,1,Yes,8,CAT,chair,3,3,4,4,4,4,2,4,1,5,2,2,4,2,4,2,2,No,3,Yes,I keep myself prepared by considering negative alternatives,Introvert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I want to but I feel burnt out from too much interaction,2,1,No,No,1,No,No,No,No,2,No,4,No,No,4,13-16 hours,3.3-3.7,2,4,No,I didn't try hard enough. I could've achieve it if I tried more,"Yes, I am happy with my academics. No regrets.",Yes,17,Moderate Stress
